NR;MIASTO;ULICA;X;Y;Z;PAR1;PAR2;PAR3;PAR4;PAR5;PAR6
25;GEEL;ENGELANDLAAN;196795,436;209160,780;26,623;10,2;0,4;0,9;6;25,8;15
26;GEEL;NEDERLANDLAAN;196190,159;209603,435;25,188;9,2;1,9;1,0;6;28,9;15
27;GEEL;NEDERLANDLAAN;196242,040;209572,808;25,239;11,0;-1,6;1,4;10;28,7;30
28;GEEL;NEDERLANDLAAN;196294,809;209542,790;25,299;8,2;-2,7;4,0;7;35,1;5
29;GEEL;NEDERLANDLAAN;196348,432;209512,510;25,431;8,0;2,2;3,3;9;33,3;0
30;GEEL;NEDERLANDLAAN;196374,647;209499,579;25,363;11,9;-3,8;3,9;5;36,0;20
31;GEEL;NEDERLANDLAAN;196452,979;209455,038;25,644;8,6;3,0;3,4;9;27,2;30
32;GEEL;NEDERLANDLAAN;196531,104;209410,424;25,619;10,5;2,8;3,9;7;22,9;15
33;GEEL;NEDERLANDLAAN;196607,149;209366,623;26,042;12,1;0,6;2,4;8;25,7;10
34;GEEL;NEDERLANDLAAN;196686,356;209321,887;25,999;8,8;2,2;3,4;7;35,5;15
35;GEEL;NEDERLANDLAAN;196749,209;209286,113;25,987;11,3;0,3;2,0;6;24,8;25
36;GEEL;AMERIKALAAN;196517,866;209190,782;26,094;9,7;-3,3;0,2;9;23,5;25
37;GEEL;AMERIKALAAN;196575,177;209302,646;26,078;11,0;1,6;3,4;10;20,5;25
38;GEEL;AMERIKALAAN;196637,159;209426,075;26,081;10,4;-0,1;1,6;7;32,2;20
39;GEEL;AMERIKALAAN;196662,393;209476,137;26,142;11,2;1,9;3,0;10;34,8;15
40;GEEL;LICHTAARTSEWEG;187320,171;208927,695;-42,513;10,5;-1,8;1,6;7;33,6;5
41;GEEL;LICHTAARTSEWEG;187385,688;209001,092;15,985;12,1;2,6;3,5;9;37,8;10
42;GEEL;LICHTAARTSEWEG;187423,806;209082,599;15,522;12,9;3,3;0,2;5;26,7;10
43;GEEL;LICHTAARTSEWEG;187430,655;209146,731;15,157;11,7;3,0;1,6;9;30,6;10
44;GEEL;LICHTAARTSEWEG;187422,135;209228,749;14,925;10,5;0,2;4,0;5;39,5;0
45;GEEL;LICHTAARTSEWEG;187414,180;209303,380;14,793;10,6;-0,6;1,1;6;32,0;25
46;GEEL;LICHTAARTSEWEG;187406,334;209379,041;14,688;12,4;1,5;0,1;6;27,4;10
47;GEEL;LICHTAARTSEWEG;187397,075;209460,832;14,589;11,3;-2,8;0,3;6;35,3;20
48;GEEL;LICHTAARTSEWEG;187393,776;209493,400;14,519;8,6;1,7;1,5;9;22,3;20
49;GEEL;LICHTAARTSEWEG;187388,229;209541,112;14,467;8,5;-3,2;2,6;7;30,8;5
50;GEEL;LICHTAARTSEWEG;187379,467;209621,198;14,484;10,2;-0,8;1,8;7;39,5;5
51;GEEL;LICHTAARTSEWEG;187370,948;209702,112;14,454;9,2;-2,4;0,3;9;36,3;0
52;GEEL;LICHTAARTSEWEG;187361,684;209783,117;15,216;8,0;2,3;1,4;5;25,6;25
53;GEEL;LICHTAARTSEWEG;187352,895;209865,764;15,216;11,6;-2,7;0,3;8;28,4;5
54;GEEL;LICHTAARTSEWEG;187343,086;209951,416;15,216;12,8;-1,2;3,0;8;39,4;0
55;GEEL;ROZENDAAL;193864,415;206140,998;23,268;8,3;3,2;1,1;9;22,5;15
56;GEEL;ROZENDAAL;193843,454;206173,630;23,369;10,2;2,3;2,8;9;35,9;15
57;GEEL;ROZENDAAL;193837,319;206208,574;23,422;12,4;-3,6;1,0;5;28,6;20
58;GEEL;ROZENDAAL;193805,213;206234,426;23,519;12,7;1,9;1,0;6;22,6;25
59;GEEL;ROZENDAAL;193788,030;206268,018;23,521;10,0;0,8;2,5;8;24,2;20
60;GEEL;ROZENDAAL;193753,411;206283,930;23,579;10,8;-1,4;0,3;5;20,2;10
61;GEEL;ROZENDAAL;193733,593;206314,228;23,734;10,5;-1,8;3,1;7;33,6;25
62;GEEL;ROZENDAAL;193699,156;206329,062;23,529;9,1;3,1;1,0;7;37,2;25
63;GEEL;ROZENDAAL;193676,809;206361,572;23,441;10,8;-0,3;1,9;7;23,1;25
64;GEEL;ROZENDAAL;193644,956;206374,161;23,519;10,2;-3,0;3,2;5;24,9;25
65;GEEL;ROZENDAAL;193625,955;206403,748;23,483;11,1;-3,1;1,8;8;24,1;10
66;GEEL;ROZENDAAL;193591,995;206418,105;23,429;10,2;-2,6;2,4;7;36,0;30
67;GEEL;ROZENDAAL;193571,120;206449,304;23,377;9,9;1,5;0,6;6;36,3;5
68;GEEL;ROZENDAAL;193537,077;206463,997;23,376;11,0;-0,1;1,9;10;36,7;15
69;GEEL;ROZENDAAL;193516,142;206493,098;23,341;12,3;-3,7;2,7;9;37,8;20
70;GEEL;ROZENDAAL;193489,952;206504,145;23,150;11,6;-1,9;1,4;6;30,9;20
71;GEEL;ROZENDAAL;193462,647;206538,356;23,161;10,0;1,9;0,8;8;34,0;10
72;GEEL;ROZENDAAL;193429,085;206554,661;23,150;10,3;-2,1;3,4;6;30,9;25
73;GEEL;ROZENDAAL;193406,042;206584,841;23,089;12,0;1,2;1,0;9;33,8;0
74;GEEL;ROZENDAAL;193370,544;206603,903;22,984;11,0;-0,8;1,2;6;22,1;5
75;GEEL;KOLLEGESTRAAT;193572,084;205797,973;23,110;13,0;-3,4;2,8;8;37,6;25
76;GEEL;KOLLEGESTRAAT;193586,664;205809,147;23,010;12,1;-3,7;1,0;7;28,7;10
77;GEEL;KOLLEGESTRAAT;193622,371;205816,080;22,870;11,4;2,9;2,5;8;33,5;20
78;GEEL;KOLLEGESTRAAT;193643,454;205813,541;22,816;12,6;0,6;2,2;10;30,7;20
79;GEEL;KOLLEGESTRAAT;193659,605;205827,163;22,744;9,1;4,0;1,9;5;31,9;25
80;GEEL;KOLLEGESTRAAT;193680,826;205826,557;22,707;10,9;-0,0;0,6;8;27,0;5
81;GEEL;KOLLEGESTRAAT;193697,112;205840,219;22,673;8,9;1,3;2,7;7;27,6;30
82;GEEL;KOLLEGESTRAAT;193721,847;205840,791;22,694;9,7;-0,6;2,8;7;34,1;25
83;GEEL;KOLLEGESTRAAT;193742,758;205856,090;22,638;8,7;-0,8;3,2;5;33,9;20
84;GEEL;KOLLEGESTRAAT;193765,893;205855,231;22,626;11,6;-3,1;0,3;10;32,1;0
85;GEEL;KOLLEGESTRAAT;193779,793;205869,306;22,666;9,8;-1,1;2,9;5;28,1;25
86;GEEL;KOLLEGESTRAAT;193810,141;205870,974;22,698;10,9;2,6;1,6;9;23,2;0
87;GEEL;KOLLEGESTRAAT;193827,072;205884,561;22,717;9,0;-3,2;2,6;7;36,8;15
88;GEEL;KOLLEGESTRAAT;193848,723;205878,485;22,726;12,1;-1,8;2,4;6;24,9;20
89;GEEL;KOLLEGESTRAAT;193861,837;205889,332;22,763;11,6;-0,4;1,2;6;26,5;30
90;GEEL;KOLLEGESTRAAT;193879,143;205881,301;22,762;12,3;0,6;1,5;6;39,0;25
91;GEEL;KOLLEGESTRAAT;193903,405;205892,571;22,824;8,5;3,8;0,0;7;21,3;25
92;GEEL;KOLLEGESTRAAT;193917,000;205884,417;22,853;10,1;-1,6;0,3;8;20,1;10
93;GEEL;KOLLEGESTRAAT;193936,948;205896,877;22,906;8,8;3,5;3,6;8;32,1;30
94;GEEL;KOLLEGESTRAAT;193965,652;205889,796;22,990;11,4;-1,4;2,7;6;24,1;15
95;GEEL;KOLLEGESTRAAT;193989,469;205902,562;23,070;10,2;-0,2;1,4;7;39,7;25
96;GEEL;KOLLEGESTRAAT;194012,268;205904,957;23,136;9,2;0,7;1,3;9;37,4;15
97;GEEL;KOLLEGESTRAAT;194038,501;205897,470;23,193;12,9;2,4;0,6;10;33,0;30
98;GEEL;KOLLEGESTRAAT;194060,212;205910,122;23,266;11,9;-0,8;2,2;6;26,9;10
99;GEEL;KOLLEGESTRAAT;194079,934;205901,734;23,339;11,6;2,4;1,7;8;31,4;20
100;GEEL;KOLLEGESTRAAT;194094,011;205913,689;23,465;11,7;1,2;2,5;8;26,6;25
101;GEEL;DOELENSTRAAT;193813,516;205903,888;23,352;10,8;-1,3;3,8;7;27,0;20
102;GEEL;DOELENSTRAAT;193819,820;205933,999;23,374;9,8;3,3;1,7;6;26,8;30
103;GEEL;DOELENSTRAAT;193827,210;205970,955;23,343;8,5;3,6;2,6;9;23,9;25
104;GEEL;DOELENSTRAAT;193832,970;206001,065;23,327;8,6;-1,3;0,8;10;37,1;20
105;GEEL;DOELENSTRAAT;193840,686;206036,311;23,206;10,5;3,5;2,1;6;31,5;15
106;GEEL;DOELENSTRAAT;193845,956;206062,652;23,256;10,0;2,5;3,2;9;23,1;5
107;GEEL;DOELENSTRAAT;193853,118;206097,763;23,151;9,9;0,9;2,7;6;25,7;5
108;GEEL;GASTHUISSTRAAT;193753,856;205441,307;22,218;12,0;-1,1;3,6;9;34,9;15
109;GEEL;GASTHUISSTRAAT;193774,803;205467,698;22,446;8,2;3,4;0,7;8;22,1;25
110;GEEL;GASTHUISSTRAAT;193791,729;205488,780;22,507;8,5;0,7;0,6;7;27,3;25
111;GEEL;GASTHUISSTRAAT;193811,238;205513,150;22,528;8,3;3,9;2,9;6;33,7;20
112;GEEL;GASTHUISSTRAAT;193831,554;205538,194;22,609;11,5;3,7;1,5;10;24,1;30
113;GEEL;GASTHUISSTRAAT;193845,447;205558,434;22,685;11,7;1,9;1,5;8;33,7;15
114;GEEL;GASTHUISSTRAAT;193866,969;205590,110;22,752;11,9;3,8;0,9;9;36,7;5
115;GEEL;GASTHUISSTRAAT;193885,853;205617,461;22,773;11,1;0,3;0,4;6;32,4;0
116;GEEL;GASTHUISSTRAAT;193903,168;205642,810;22,876;10,0;-2,9;3,0;9;36,4;10
117;GEEL;GASTHUISSTRAAT;193923,356;205673,010;22,981;11,8;1,8;2,1;9;36,5;15
118;GEEL;GASTHUISSTRAAT;193939,161;205695,998;23,045;8,5;1,4;3,7;6;28,8;30
119;GEEL;GASTHUISSTRAAT;193957,005;205722,464;23,064;8,6;2,8;1,0;7;29,7;15
120;GEEL;GASTHUISSTRAAT;193975,675;205746,259;23,232;9,1;2,6;1,7;6;35,0;15
121;GEEL;GASTHUISSTRAAT;193994,854;205770,303;23,222;8,8;1,3;3,5;8;26,5;0
122;GEEL;GASTHUISSTRAAT;194016,000;205797,130;23,304;12,5;-0,3;0,5;5;34,3;15
123;GEEL;GASTHUISSTRAAT;194034,236;205817,508;23,365;12,1;-1,3;2,4;9;37,5;20
124;GEEL;GASTHUISSTRAAT;194054,498;205842,047;23,378;9,3;0,3;0,8;7;27,5;15
125;GEEL;GASTHUISSTRAAT;194074,520;205865,433;23,440;9,0;-2,4;3,9;8;36,5;5
126;GEEL;GASTHUISSTRAAT;194093,498;205887,220;23,519;11,9;-0,8;2,4;9;35,1;10
127;GEEL;GASTHUISSTRAAT;194115,678;205912,697;23,607;11,0;-0,4;2,1;6;23,5;10
128;GEEL;GASTHUISSTRAAT;194137,349;205937,279;23,690;12,2;-2,5;2,9;6;28,9;0
129;GEEL;GASTHUISSTRAAT;194156,929;205959,517;23,760;10,0;1,6;2,4;6;35,0;20
130;GEEL;GASTHUISSTRAAT;194176,895;205981,342;23,783;11,6;-2,6;0,6;9;29,0;5
131;GEEL;LOGEN;194259,994;206093,485;23,830;10,7;1,6;0,6;8;39,9;15
132;GEEL;LOGEN;194286,491;206110,284;23,768;9,1;2,9;1,8;9;21,0;30
133;GEEL;LOGEN;194306,265;206141,347;23,457;11,3;0,1;3,7;5;27,3;10
134;GEEL;LOGEN;194329,074;206177,421;23,139;10,0;3,6;1,4;8;35,4;25
135;GEEL;LOGEN;194353,665;206216,173;22,931;11,5;0,6;2,1;6;27,1;10
136;GEEL;LOGEN;194371,722;206244,561;22,724;9,5;0,4;0,4;9;27,6;15
137;GEEL;LOGEN;194394,469;206280,569;22,563;10,4;-3,3;0,1;8;23,1;5
138;GEEL;LOGEN;194412,310;206310,925;22,646;12,5;2,0;0,2;7;31,5;5
139;GEEL;LOGEN;194435,645;206347,171;22,657;11,4;-2,6;2,3;6;38,9;0
140;GEEL;LOGEN;194459,318;206384,952;22,923;8,9;1,6;3,6;10;37,0;20
141;GEEL;LOGEN;194480,324;206422,642;22,888;12,0;0,4;2,5;10;29,3;5
142;GEEL;LOGEN;194499,851;206453,561;22,892;12,5;-2,6;1,4;10;25,5;5
143;GEEL;LOGEN;194520,215;206485,739;22,926;9,3;-1,5;1,9;9;22,8;0
144;GEEL;LOGEN;194539,759;206516,469;23,086;11,1;-0,1;1,0;7;35,0;15
145;GEEL;LOGEN;194559,966;206550,666;23,179;11,5;-0,0;3,9;8;32,7;10
146;GEEL;LOGEN;194575,523;206582,636;23,176;8,9;-0,5;0,3;8;38,2;20
147;GEEL;LOGEN;194593,959;206616,093;23,103;11,5;3,9;3,4;10;26,6;25
148;GEEL;LOGEN;194610,552;206650,646;23,100;8,5;1,4;1,8;6;36,6;20
149;GEEL;LOGEN;194625,879;206686,551;23,211;12,3;-0,5;3,9;6;20,6;20
150;GEEL;LOGEN;194642,102;206720,074;23,299;12,2;0,6;1,0;6;36,7;0
151;GEEL;LOGEN;194658,956;206754,461;23,368;10,1;-0,8;1,2;5;31,2;0
152;GEEL;LOGEN;194675,523;206788,328;23,445;10,5;-1,1;3,5;6;25,6;30
153;GEEL;LOGEN;194691,688;206821,900;23,516;12,5;-0,6;0,8;9;22,8;15
154;GEEL;LOGEN;194710,537;206856,536;23,583;11,5;-0,8;2,9;5;29,4;0
155;GEEL;LOGEN;194728,116;206892,325;23,669;12,0;0,6;2,4;6;38,9;20
156;GEEL;LOGEN;194745,645;206929,336;23,757;10,9;0,6;0,3;6;28,2;25
157;GEEL;LOGEN;194759,887;206962,621;23,932;9,5;-2,1;3,0;6;33,1;10
158;GEEL;LOGEN;194776,622;206996,938;24,104;9,3;-3,1;1,6;9;28,7;20
159;GEEL;LOGEN;194793,302;207031,102;24,341;10,8;-0,3;3,5;7;21,3;25
160;GEEL;LOGEN;194809,288;207064,726;24,647;9,6;2,9;2,0;9;32,1;10
161;GEEL;LAAR;195583,973;206166,067;22,789;9,2;1,7;0,3;6;26,5;15
162;GEEL;LAAR;195559,459;206134,471;22,273;8,8;2,7;0,9;6;24,4;30
163;GEEL;LAAR;195531,346;206100,926;21,939;11,3;-2,0;2,2;8;27,5;20
164;GEEL;LAAR;195499,395;206070,148;21,844;9,9;-1,5;2,7;6;28,5;10
165;GEEL;LAAR;195470,320;206043,042;21,703;8,6;2,0;0,2;8;27,0;20
166;GEEL;LAAR;195440,766;206015,529;21,525;9,9;-1,6;2,7;8;26,8;20
167;GEEL;LAAR;195409,374;205985,629;21,425;11,8;1,6;1,5;10;28,6;10
168;GEEL;LAAR;195379,337;205954,099;21,542;9,2;3,3;1,8;6;29,6;25
169;GEEL;LAAR;195352,240;205922,070;21,403;12,9;-2,1;2,5;10;32,5;20
170;GEEL;LAAR;195326,233;205888,415;21,603;10,5;-2,4;0,4;8;23,1;10
171;GEEL;LAAR;195304,893;205860,734;21,304;12,8;-3,9;1,7;6;28,2;5
172;GEEL;LAAR;195278,298;205826,965;21,159;8,6;-1,0;0,6;8;20,6;10
173;GEEL;LAAR;195252,533;205794,348;21,117;12,1;1,4;2,1;9;28,0;5
174;GEEL;LAAR;195221,960;205755,371;21,229;12,9;0,3;3,9;9;30,5;20
175;GEEL;LAAR;195197,137;205723,667;21,120;12,7;-3,7;1,2;9;23,2;5
176;GEEL;LAAR;195172,358;205689,866;21,169;12,0;0,2;3,4;7;22,1;5
177;GEEL;LAAR;195150,104;205661,056;21,145;11,7;-3,1;2,3;8;25,2;25
178;GEEL;LAAR;195120,684;205626,947;21,437;9,6;-4,0;0,2;7;28,0;10
179;GEEL;LAAR;195090,864;205602,794;21,349;12,4;-1,5;3,8;8;21,6;25
180;GEEL;LAAR;195058,332;205576,473;21,360;8,4;3,3;1,1;6;39,7;10
181;GEEL;LAAR;195027,457;205551,430;21,431;9,8;-1,8;2,7;6;25,6;30
182;GEEL;LAAR;195009,689;205523,845;21,767;12,1;-1,0;3,0;6;23,2;10
183;GEEL;LAAR;194969,811;205501,859;21,426;11,1;3,1;3,4;7;25,3;20
184;GEEL;LAAR;194927,532;205484,875;21,295;11,2;2,2;1,6;7;30,7;20
185;GEEL;LAAR;194891,627;205470,851;21,266;12,5;-1,1;1,4;5;32,8;10
186;GEEL;LAAR;194847,217;205456,431;21,233;9,4;-0,6;2,9;5;23,2;25
187;GEEL;LAAR;194805,300;205446,101;21,232;11,9;0,3;0,9;6;37,7;0
188;GEEL;LAAR;194761,197;205443,178;21,199;9,5;-0,0;1,6;6;38,9;0
189;GEEL;LAAR;194719,037;205430,379;21,148;10,8;1,4;0,0;10;35,4;0
190;GEEL;LAAR;194641,084;205407,637;20,929;8,4;1,6;1,0;8;20,0;25
191;GEEL;LAAR;194577,836;205404,148;21,281;9,8;-2,1;3,1;9;37,9;30
192;GEEL;LAAR;194564,272;205446,859;21,212;8,6;-3,8;3,9;8;37,9;20
193;GEEL;LAAR;194551,763;205486,677;21,339;12,7;-2,6;1,0;5;27,1;25
194;GEEL;LAAR;194541,887;205518,617;21,421;8,1;1,1;1,4;10;24,8;0
195;GEEL;LAAR;194511,252;205567,075;21,583;8,0;0,7;3,8;6;39,4;30
196;GEEL;LAAR;194479,505;205601,084;21,725;9,3;-2,7;2,6;9;39,2;15
197;GEEL;LAAR;194450,005;205633,453;21,856;12,6;0,5;0,1;7;33,7;30
198;GEEL;LAAR;194417,123;205680,702;22,131;12,4;-3,1;2,8;5;28,7;5
199;GEEL;LAAR;194385,306;205725,475;22,453;10,0;-3,0;3,5;9;32,0;5
200;GEEL;LAAR;194356,449;205767,744;22,571;12,8;1,4;0,7;6;35,0;5
201;GEEL;LAAR;194333,481;205801,957;22,764;9,8;-3,6;3,4;9;22,9;25
202;GEEL;LAAR;194297,577;205855,026;23,075;10,7;2,5;0,4;7;36,9;5
203;GEEL;LAAR;194263,653;205906,142;23,328;8,1;0,3;2,6;8;31,6;5
204;GEEL;LAAR;194227,232;205934,966;23,564;12,9;-2,6;0,4;8;28,0;5
205;GEEL;LAAR;194209,953;205957,131;23,590;10,1;0,1;0,8;9;39,5;20
206;GEEL;LAAR;194189,279;205980,995;23,626;10,1;3,0;1,5;9;24,0;10
207;GEEL;MOLSEWEG;196576,117;206295,982;22,077;11,2;-0,3;3,8;6;39,0;30
208;GEEL;MOLSEWEG;195651,832;206184,707;23,231;9,2;-3,3;2,3;7;37,0;10
209;GEEL;MOLSEWEG;195684,504;206187,732;23,176;10,2;-3,5;1,5;6;39,8;20
210;GEEL;MOLSEWEG;195723,040;206191,260;23,058;10,0;1,1;4,0;6;34,1;20
211;GEEL;MOLSEWEG;195758,660;206194,387;22,971;10,2;1,9;3,4;8;22,9;25
212;GEEL;MOLSEWEG;195800,264;206198,280;22,848;9,6;2,9;2,1;8;38,5;5
213;GEEL;MOLSEWEG;195838,298;206201,718;22,778;12,5;3,5;2,1;9;29,7;20
214;GEEL;MOLSEWEG;195877,106;206205,472;22,665;10,6;-0,8;3,1;9;27,0;20
215;GEEL;MOLSEWEG;195915,214;206208,781;22,592;8,0;2,3;3,0;9;34,0;15
216;GEEL;MOLSEWEG;195954,893;206212,351;22,525;12,3;2,8;1,4;6;31,2;10
217;GEEL;MOLSEWEG;195988,146;206214,440;22,471;12,7;3,3;0,8;5;27,2;30
218;GEEL;MOLSEWEG;196033,189;206219,499;22,188;8,4;1,3;2,6;9;31,5;10
219;GEEL;MOLSEWEG;196071,897;206222,979;22,187;9,4;-1,3;0,9;7;21,6;30
220;GEEL;MOLSEWEG;196110,953;206226,472;22,115;8,2;3,8;3,7;9;28,9;25
221;GEEL;MOLSEWEG;196384,092;206251,551;0,000;9,0;3,1;1,0;8;22,7;25
222;GEEL;MOLSEWEG;196431,895;206258,251;21,539;8,1;0,4;3,6;7;20,9;15
223;GEEL;MOLSEWEG;196469,505;206264,657;21,645;10,3;-2,9;2,5;9;38,5;15
224;GEEL;MOLSEWEG;196504,635;206277,961;21,830;12,1;-3,6;2,5;6;37,8;30
225;GEEL;MOLSEWEG;196539,341;206291,268;21,948;12,1;0,0;2,8;9;29,2;10
226;GEEL;MOLSEWEG;196559,037;206280,156;22,162;10,4;0,2;0,6;9;26,2;20
227;GEEL;MOLSEWEG;196555,042;206258,708;22,177;12,6;3,8;0,1;8;36,4;15
228;GEEL;MOLSEWEG;196578,459;206243,931;22,139;8,5;2,4;3,4;7;26,2;0
229;GEEL;MOLSEWEG;196608,142;206258,739;22,152;12,5;2,3;2,7;7;33,8;20
230;GEEL;MOLSEWEG;196609,406;206279,713;22,005;9,2;-1,7;3,3;9;34,5;15
231;GEEL;MOLSEWEG;196631,519;206298,843;21,942;12,6;-3,8;0,8;10;37,1;5
232;GEEL;MOLSEWEG;196669,532;206312,302;21,812;11,1;3,0;1,6;9;27,2;20
233;GEEL;MOLSEWEG;196703,396;206322,267;21,775;10,0;3,6;1,7;7;34,4;30
234;GEEL;MOLSEWEG;196738,430;206336,232;21,814;8,4;0,3;1,8;9;25,5;25
235;GEEL;MOLSEWEG;196773,530;206349,928;21,842;8,1;2,4;3,3;7;38,6;20
236;GEEL;MOLSEWEG;196808,578;206363,738;21,887;10,2;-1,4;0,6;9;37,7;15
237;GEEL;MOLSEWEG;196876,564;206380,378;22,030;8,2;3,5;0,8;7;21,4;10
238;GEEL;MOLSEWEG;196955,686;206411,813;22,127;10,2;2,8;1,4;10;34,6;25
239;GEEL;MOLSEWEG;197029,827;206441,441;22,237;9,4;-3,9;1,2;10;24,1;0
240;GEEL;MOLSEWEG;197107,445;206472,355;22,347;11,3;-1,2;1,4;9;30,4;30
241;GEEL;MOLSEWEG;197183,801;206502,688;22,402;11,0;3,9;2,2;10;30,4;30
242;GEEL;MOLSEWEG;197261,831;206533,796;22,464;9,8;-1,7;2,5;9;34,1;0
243;GEEL;MOLSEWEG;197338,216;206564,279;22,564;9,7;2,5;0,1;8;35,0;30
244;GEEL;MOLSEWEG;197411,811;206593,498;22,572;9,8;3,8;1,5;5;25,5;20
245;GEEL;MOLSEWEG;197485,844;206623,137;22,591;8,0;-1,8;0,7;9;35,4;30
246;GEEL;MOLSEWEG;197557,029;206651,249;22,628;9,4;-2,5;1,5;7;33,8;15
247;GEEL;MOLSEWEG;197634,836;206682,164;22,684;9,9;-2,3;0,7;9;27,8;10
248;GEEL;MOLSEWEG;197708,155;206711,335;22,728;12,0;1,1;0,3;6;20,6;20
249;GEEL;MOLSEWEG;197778,114;206739,116;22,773;12,9;-2,8;1,3;7;25,3;0
250;GEEL;MOLSEWEG;197851,493;206768,099;22,875;11,6;-3,4;3,9;6;24,9;20
251;GEEL;MOLSEWEG;197927,308;206798,402;22,908;9,1;3,4;1,3;10;34,8;20
252;GEEL;MOLSEWEG;198002,434;206828,126;22,954;9,2;-0,7;0,8;6;36,8;5
253;GEEL;MOLSEWEG;198075,534;206857,018;22,959;10,6;3,4;0,2;6;29,7;0
254;GEEL;MOLSEWEG;198152,942;206887,695;22,981;12,2;-0,3;2,3;9;32,3;15
255;GEEL;MOLSEWEG;198233,522;206919,463;22,968;8,4;0,3;3,9;10;23,5;0
256;GEEL;MOLSEWEG;198313,829;206940,881;22,965;8,5;-1,0;2,6;8;24,9;10
257;GEEL;MOLSEWEG;198397,684;206971,140;23,153;11,0;-3,4;0,4;6;30,5;30
258;GEEL;MOLSEWEG;198480,788;206986,875;23,481;9,4;-1,9;2,3;9;29,9;25
259;GEEL;MOLSEWEG;198546,032;206989,283;23,756;10,1;-3,5;0,1;5;21,0;5
260;GEEL;MOLSEWEG;198544,088;207017,543;23,982;11,4;1,9;0,5;6;28,5;20
261;GEEL;MOLSEWEG;198514,326;207021,659;23,707;9,9;2,7;2,3;8;27,4;25
262;GEEL;MOLSEWEG;198532,105;207043,465;23,582;10,6;2,1;1,5;6;31,2;20
263;GEEL;MOLSEWEG;198587,733;207052,839;23,235;10,8;-0,1;4,0;8;36,2;5
264;GEEL;MOLSEWEG;198743,507;207114,324;23,180;11,4;-1,0;0,8;10;37,6;25
265;GEEL;RIJN;194468,950;205967,086;21,731;8,2;2,9;2,2;8;26,4;10
266;GEEL;RIJN;194470,858;205992,539;21,796;9,5;2,7;0,4;6;33,2;5
267;GEEL;RIJN;194472,872;206018,156;21,821;9,5;0,7;2,8;6;33,4;25
268;GEEL;RIJN;194279,240;206058,129;23,700;10,7;0,9;3,9;8;35,9;0
269;GEEL;RIJN;194265,735;206050,912;24,156;12,0;-0,6;3,8;6;28,2;15
270;GEEL;RIJN;194227,202;206052,425;24,138;11,5;1,7;3,1;7;32,6;5
271;GEEL;RIJN;194210,617;206034,302;24,027;9,1;3,9;3,2;8;22,7;25
272;GEEL;RIJN;194191,093;206014,406;23,869;11,1;-0,2;2,7;6;24,7;25
273;GEEL;RIJN;194279,060;206077,011;23,766;12,3;3,8;0,3;7;28,3;15
274;GEEL;RIJN;194282,281;206071,328;23,718;10,2;3,0;3,9;10;32,1;25
